#No RA DEC PM_RA PM_RA_ERR PM_DEC PM_DEC_ERR
42 351.4572431 61.38903955 -1.653509526 0.026524781 -0.936538955 0.022875577
48 351.1996848 61.47341881 -1.822930568 0.032045776 -1.450993015 0.032824536
51 351.2706781 61.61455884 -1.541475364 0.029096786 -1.468091842 0.024668607
53 351.2058298 61.64304918 -2.150074304 0.032662464 -1.185313039 0.029522451
55 351.5977311 61.58120999 -1.995598019 0.027760514 -1.04366243 0.025219827
59 351.1286093 61.62403026 -2.336491854 0.032911929 -1.403225224 0.029282046
60 351.4424764 61.54438165 -1.904488602 0.025623596 -1.338877021 0.023308373
64 351.4371177 61.59462973 -2.072453022 0.028350059 -1.021471004 0.02423229
71 351.1517862 61.58790971 -2.006785404 0.033849277 -1.301629458 0.032029004
75 350.9310631 61.61986893 -1.976337308 0.031756604 -1.28069031 0.026219601
78 351.2219363 61.68672524 -1.740268247 0.034406186 -1.495969507 0.029891022
79 351.1409826 61.63188414 -1.770768619 0.032046594 -1.512444608 0.029477938
84 351.3978404 61.5350224 -2.073657961 0.026538353 -1.466593236 0.023281892
89 351.3071745 61.63066029 -2.008692449 0.031007289 -1.253831977 0.025606473
91 351.3756922 61.56633475 -1.890616703 0.032953096 -1.214020302 0.029035148
93 351.6499616 61.64253851 -2.08999721 0.027934304 -0.962183025 0.023669114
96 351.0657394 61.62352864 -2.089582987 0.029053397 -1.20475989 0.02596926
97 351.338857 61.52481814 -1.800085227 0.032736027 -1.1198196 0.026039603
103 351.4712039 61.5695522 -2.03083877 0.029099007 -1.163532253 0.027483656
108 351.4077611 61.71589949 -1.930767007 0.034833524 -1.175004347 0.027292116
110 351.1389665 61.64383572 -2.041876455 0.034861091 -1.127937479 0.026313962
111 351.4986451 61.5851678 -2.165632319 0.029893515 -1.205208138 0.025542866
112 351.1547782 61.64124176 -2.17599052 0.035669185 -1.293069829 0.031076419
113 351.3834368 61.55229969 -1.870890146 0.036586337 -1.277891941 0.0315443
114 351.3642361 61.6050091 -1.985269029 0.025145435 -1.020248332 0.021972981
117 351.4163257 61.5487597 -1.963797025 0.037808329 -1.282954616 0.031885468
121 351.3032722 61.51720863 -2.103478866 0.034480184 -1.065151231 0.026145815
138 351.2822834 61.71084528 -1.838517745 0.031222935 -1.250141654 0.024670719
139 351.4181613 61.58982728 -1.863923267 0.027351474 -1.251458006 0.026494171
