# [0]:No	[1]:V	[2]:g-r	[3]:u-g
2.500000000000000000e+01 9.470000000000000639e+00 1.501399999999999846e+00 -4.317999999999998506e-01
3.400000000000000000e+01 1.202999999999999936e+01 2.090199999999999836e+00 1.904000000000001247e-01
7.000000000000000000e+01 1.076800000000000068e+01 1.788119999999999710e+00 -2.849199999999999511e-01
8.100000000000000000e+01 1.358999999999999986e+01 2.039000000000000146e+00 -5.439999999999989289e-02
8.100000000000000000e+01 1.355000000000000071e+01 2.064599999999999991e+00 -8.499999999999985345e-02
8.100000000000000000e+01 1.350500000000000078e+01 2.012119999999999909e+00 1.761200000000001653e-01
8.100000000000000000e+01 1.356000000000000050e+01 2.013400000000000301e+00 -4.419999999999979501e-02
8.300000000000000000e+01 1.485999999999999943e+01 2.231000000000000316e+00 3.128000000000001890e-01
8.300000000000000000e+01 1.489000000000000057e+01 2.154199999999999893e+00 2.822000000000001174e-01
9.700000000000000000e+01 1.250000000000000000e+01 2.269400000000000084e+00 3.638000000000002343e-01
9.700000000000000000e+01 1.265000000000000036e+01 2.269400000000000084e+00 4.454000000000001291e-01
1.020000000000000000e+02 1.050999999999999979e+01 1.795799999999999841e+00 -2.889999999999998126e-01
1.020000000000000000e+02 1.053999999999999915e+01 1.853400000000000158e+00 -1.349799999999998779e-01
1.050000000000000000e+02 1.375999999999999979e+01 2.141399999999999970e+00 4.760000000000008669e-02
1.050000000000000000e+02 1.377999999999999936e+01 2.103000000000000203e+00 -3.399999999999847589e-03
1.200000000000000000e+02 1.078999999999999915e+01 1.782999999999999918e+00 -2.481999999999998652e-01
1.290000000000000000e+02 1.147000000000000064e+01 2.013400000000000301e+00 -3.399999999999980815e-02
1.330000000000000000e+02 1.433000000000000007e+01 2.653399999999999981e+00 7.820000000000001394e-01
1.330000000000000000e+02 1.432000000000000028e+01 2.653399999999999981e+00 6.902000000000002577e-01
1.340000000000000000e+02 1.441000000000000014e+01 2.819800000000000306e+00 6.494000000000003103e-01
1.520000000000000000e+02 1.075000000000000000e+01 1.782999999999999918e+00 -2.685999999999998389e-01
1.530000000000000000e+02 7.509999999999999787e+00 1.078999999999999737e+00 -3.399999999999997469e-01
1.570000000000000000e+02 7.900000000000000355e+00 1.322200000000000042e+00 -3.297999999999997600e-01
1.570000000000000000e+02 7.910999999999999588e+00 1.346519999999999939e+00 -3.083799999999997654e-01
1.580000000000000000e+02 8.240000000000000213e+00 1.187799999999999745e+00 -2.991999999999997994e-01
1.580000000000000000e+02 8.230000000000000426e+00 1.206999999999999851e+00 -2.991999999999997994e-01
1.640000000000000000e+02 9.539999999999999147e+00 1.501399999999999846e+00 -4.317999999999998506e-01
1.640000000000000000e+02 9.555999999999999162e+00 1.569240000000000190e+00 -4.307799999999998297e-01
1.730000000000000000e+02 1.085999999999999943e+01 1.975000000000000089e+00 6.800000000000139266e-03
1.740000000000000000e+02 1.161999999999999922e+01 1.975000000000000089e+00 -3.399999999999847589e-03
1.860000000000000000e+02 1.051999999999999957e+01 1.911000000000000032e+00 -1.869999999999998330e-01
1.860000000000000000e+02 1.049000000000000021e+01 1.898200000000000109e+00 -1.461999999999998856e-01
1.890000000000000000e+02 1.402999999999999936e+01 2.627800000000000136e+00 7.922000000000001263e-01
1.890000000000000000e+02 1.400000000000000000e+01 2.627800000000000136e+00 7.616000000000001657e-01
1.910000000000000000e+02 1.459999999999999964e+01 2.704599999999999671e+00 8.534000000000002695e-01
1.910000000000000000e+02 1.439000000000000057e+01 2.755800000000000249e+00 7.004000000000002446e-01
1.930000000000000000e+02 1.128999999999999915e+01 1.923800000000000399e+00 -7.479999999999986660e-02
2.120000000000000000e+02 1.438499999999999979e+01 2.678999999999999826e+00 7.106000000000000094e-01
2.320000000000000000e+02 8.050000000000000711e+00 1.139159999999999950e+00 -2.889999999999998126e-01
2.320000000000000000e+02 8.060000000000000497e+00 1.142999999999999794e+00 -2.889999999999998126e-01
2.330000000000000000e+02 9.660000000000000142e+00 1.552599999999999980e+00 -4.317999999999998506e-01
2.330000000000000000e+02 9.691000000000000725e+00 1.587159999999999904e+00 -3.787599999999998746e-01
2.480000000000000000e+02 1.101999999999999957e+01 1.872599999999999820e+00 -1.869999999999998330e-01
2.480000000000000000e+02 1.102100000000000080e+01 1.905880000000000241e+00 -2.053599999999998760e-01
2.500000000000000000e+02 1.067999999999999972e+01 1.757400000000000073e+00 -2.991999999999997994e-01
2.500000000000000000e+02 1.068999999999999950e+01 1.744600000000000151e+00 -2.889999999999998126e-01
2.530000000000000000e+02 1.066000000000000014e+01 1.757400000000000073e+00 -2.991999999999997994e-01
2.570000000000000000e+02 1.250999999999999979e+01 1.923800000000000399e+00 -1.359999999999998987e-01
2.570000000000000000e+02 1.259999999999999964e+01 1.911000000000000032e+00 -1.053999999999998272e-01
2.630000000000000000e+02 1.153999999999999915e+01 2.013400000000000301e+00 -1.359999999999983444e-02
2.930000000000000000e+02 1.080000000000000071e+01 1.782999999999999918e+00 -2.787999999999998257e-01
2.960000000000000000e+02 1.146000000000000085e+01 1.962199999999999722e+00 1.700000000000012612e-02
2.960000000000000000e+02 1.151200000000000045e+01 2.055639999999999912e+00 -3.399999999999847589e-03
2.980000000000000000e+02 1.085999999999999943e+01 2.013400000000000301e+00 3.740000000000009983e-02
3.030000000000000000e+02 1.048000000000000043e+01 2.026199999999999779e+00 -8.499999999999985345e-02
3.140000000000000000e+02 1.056000000000000050e+01 1.706199999999999939e+00 -3.399999999999997469e-01
3.160000000000000000e+02 8.849999999999999645e+00 3.075800000000000090e+00 1.587800000000000100e+00
3.200000000000000000e+02 1.103999999999999915e+01 2.013400000000000301e+00 6.800000000000139266e-03
3.240000000000000000e+02 1.300000000000000000e+01 2.256600000000000161e+00 3.536000000000002474e-01
3.240000000000000000e+02 1.311999999999999922e+01 2.192600000000000104e+00 3.638000000000002343e-01
3.240000000000000000e+02 1.290000000000000036e+01 2.307799999999999851e+00 3.230000000000001759e-01
3.350000000000000000e+02 1.375999999999999979e+01 2.525399999999999867e+00 6.596000000000002972e-01
3.350000000000000000e+02 1.377999999999999936e+01 2.487000000000000099e+00 6.596000000000002972e-01
3.350000000000000000e+02 1.365000000000000036e+01 2.563800000000000079e+00 1.700000000000001510e-01
3.380000000000000000e+02 9.060000000000000497e+00 1.473240000000000105e+00 -3.399999999999997469e-01
3.380000000000000000e+02 9.070000000000000284e+00 1.475800000000000001e+00 -3.399999999999997469e-01
3.440000000000000000e+02 8.160000000000000142e+00 1.226199999999999957e+00 -3.501999999999999558e-01
3.440000000000000000e+02 8.169999999999999929e+00 1.232600000000000140e+00 -3.501999999999999558e-01
3.450000000000000000e+02 1.157000000000000028e+01 1.962199999999999722e+00 -5.439999999999989289e-02
3.450000000000000000e+02 1.165000000000000036e+01 1.975000000000000089e+00 -7.479999999999986660e-02
3.450000000000000000e+02 1.140000000000000036e+01 1.949400000000000244e+00 -1.053999999999998272e-01
3.470000000000000000e+02 1.398000000000000043e+01 2.730199999999999960e+00 6.902000000000002577e-01
3.570000000000000000e+02 1.346000000000000085e+01 2.730199999999999960e+00 2.618000000000001437e-01
